timestamp,window,packages,predicted
1644779337.966063,None,2816,1771.3227513227514
1644779338.228943,None,1196,1816.1746031746031
1644779338.429775,None,938,1697.2433862433863
1644779338.7313688,None,1490,1583.936507936508
1644779339.3062308,None,2572,1526.068783068783
1644779339.7803822,None,1929,1583.888888888889
1644779340.265992,None,2064,1578.2328042328043
1644779340.853726,None,2521,1579.7619047619048
1644779341.0352612,None,831,1616.4021164021165
1644779341.233932,None,943,1510.989417989418
1644779341.3678765,None,601,1441.6878306878307
1644779341.5266063,None,679,1348.7777777777778
1644779341.7180617,None,625,1273.8201058201057
1644779341.8658745,None,653,1196.8042328042327
1644779342.0255814,None,683,1123.3544973544974
1644779342.2363813,None,914,1057.005291005291
1644779342.4089892,None,641,1018.6931216931217
1644779342.5528297,None,495,956.3333333333334
1644779342.6703813,None,457,881.7089947089947
1644779343.2869093,None,2452,805.7037037037037
1644779344.2962735,None,4796,932.1798941798942
1644779345.2262332,None,4561,1275.2486772486773
1644779345.6508105,None,2044,1575.5238095238096
1644779346.1936376,None,2469,1619.835978835979
1644779346.6985946,None,2315,1707.4179894179895
1644779348.6444247,None,8241,1777.4761904761904
1644779349.1801038,None,2714,2410.5873015873017
1644779349.5521038,None,1820,2487.05291005291
1644779350.1592338,None,2986,2468.4126984126983
1644779350.3526733,None,882,2556.1798941798943
1644779351.0103629,None,3217,2430.94708994709
1644779351.4145746,None,1971,2527.021164021164
1644779351.848108,None,2019,2490.714285714286
1644779353.3212237,None,6600,2452.005291005291
1644779353.6440935,None,1571,2842.5132275132273
1644779353.8603747,None,1023,2723.9841269841268
1644779354.582029,None,2994,2548.3439153439153
1644779354.8394527,None,1338,2557.6243386243386
1644779355.0710845,None,1064,2395.767195767196
1644779355.3582938,None,1418,2213.708994708995
1644779355.8215582,None,1994,2085.1111111111113
1644779356.077468,None,1277,2028.0
1644779356.9211636,None,3752,1902.867724867725
1644779358.0303025,None,4687,2019.7566137566137
1644779359.9151304,None,7495,2218.089947089947
1644779361.3787966,None,5876,2702.6560846560847
1644779361.9060717,None,2229,3007.73544973545
1644779362.726453,None,3666,2944.021164021164
1644779363.2645879,None,2540,3021.169312169312
1644779363.5909817,None,1586,2976.3492063492063
1644779363.8985007,None,1447,2844.253968253968
1644779364.1187294,None,1078,2700.957671957672
1644779364.3067098,None,854,2525.5449735449733
1644779364.461463,None,737,2358.0158730158732
1644779365.276363,None,4055,2183.137566137566
1644779366.227194,None,4545,2325.772486772487
1644779366.77577,None,2492,2509.4603174603176
1644779367.2931235,None,2467,2480.6560846560847
1644779367.547075,None,1209,2441.915343915344
1644779367.9691713,None,1922,2277.814814814815
1644779368.504329,None,2337,2185.772486772487
1644779368.936867,None,2010,2129.84126984127
1644779369.3594325,None,2083,2050.253968253968
1644779369.5008192,None,611,1991.7830687830688
1644779369.6719122,None,871,1821.7566137566137
1644779369.7478247,None,343,1704.3492063492063
1644779369.8266642,None,360,1543.8412698412699
1644779369.936306,None,496,1402.5343915343915
1644779370.0042322,None,313,1285.7142857142858
1644779370.1854684,None,773,1157.2328042328043
1644779370.4765923,None,1320,1078.5608465608466
1644779370.8773851,None,1949,1053.5978835978835
1644779371.599536,None,3426,1086.0740740740741
1644779372.0117376,None,1878,1252.8042328042327
1644779374.751175,None,12059,1275.4338624338625
1644779375.149501,None,1956,2281.7936507936506
1644779375.8250525,None,3244,2275.3439153439153
1644779376.0948505,None,1264,2394.26455026455
1644779376.476802,None,1910,2313.846560846561
1644779377.87053,None,5765,2298.4338624338625
1644779378.4915216,None,2790,2652.4232804232806
1644779378.8675165,None,1799,2703.2116402116403
1644779379.1323533,None,1339,2655.878306878307
1644779379.3664887,None,1089,2558.4497354497353
1644779379.984481,None,2714,2434.73544973545
1644779380.6325655,None,3201,2461.835978835979
1644779380.9807584,None,1553,2522.862433862434
1644779381.542236,None,2191,2412.6243386243386
1644779382.0977519,None,2456,2356.5873015873017
1644779382.2093234,None,482,2318.285714285714
1644779382.28226,None,232,2085.973544973545
1644779382.511909,None,996,1837.6137566137565
1644779383.7285707,None,5737,1678.915343915344
1644779384.9353638,None,6156,1976.4074074074074
1644779385.5176692,None,2791,2347.253968253968
1644779387.6246488,None,10510,2375.4021164021165
1644779388.6570232,None,4265,3141.089947089947
1644779388.8008385,None,649,3263.095238095238
1644779388.9501593,None,585,3028.259259259259
1644779389.060742,None,538,2814.3968253968255
1644779389.4471543,None,1661,2607.7248677248676
1644779389.767951,None,1378,2514.677248677249
1644779390.1835217,None,1818,2392.973544973545
1644779390.6904576,None,2305,2311.645502645503
1644779391.4746091,None,3620,2281.4391534391534
1644779391.68593,None,904,2381.2116402116403
1644779392.537569,None,3942,2211.3809523809523
1644779392.6576245,None,517,2337.6931216931216
1644779392.7994847,None,603,2129.9523809523807
1644779392.9294608,None,648,1930.2169312169312
1644779393.0246687,None,420,1732.8042328042327
1644779393.133319,None,428,1515.5185185185185
1644779393.4200184,None,1278,1327.126984126984
1644779393.630626,None,966,1249.994708994709
1644779393.8959892,None,1169,1151.1534391534392
1644779394.2387252,None,1542,1122.142857142857
1644779395.1340008,None,4240,1145.037037037037
1644779396.965729,None,7928,1420.1587301587301
1644779397.39328,None,2037,2027.1798941798943
1644779397.9854803,None,2738,2034.05291005291
1644779398.4026413,None,1950,2105.6984126984125
1644779398.638239,None,1183,2095.100529100529
1644779398.9155056,None,1373,2010.7566137566137
1644779399.1327538,None,1058,1950.4444444444443
1644779399.4472184,None,1510,1872.021164021164
1644779400.0131528,None,2567,1835.8306878306878
1644779400.3137019,None,1420,1913.1746031746031
1644779401.48875,None,5206,1870.4338624338625
1644779402.6642976,None,5393,2183.941798941799
1644779403.0982714,None,1866,2491.1428571428573
1644779403.6345005,None,2281,2436.126984126984
1644779404.2048757,None,2638,2413.026455026455
1644779404.7666786,None,2355,2418.6190476190477
1644779405.3792357,None,2745,2388.4126984126983
1644779406.8012428,None,5870,2389.074074074074
1644779406.9669068,None,843,2680.989417989418
1644779407.2486622,None,1443,2485.5185185185187
